id,name_kor,operating_hotel,name_eng,audit,class,room_cate,nrooms,year,price,price_cate,rating,CONV,COSTEFF,EMOTIONAL,FACILITIES,ROOM,SERVICE,SOCIAL,TOTAL,gta,gts,roa,roe,opr,nir,deratio,tat,opercf,invcf,fincf,ta,sales,cogs,exp,labor,dep,other_exp
1,(주)HJ 매그놀리아 용평 호텔 앤 리조트,용평리조트,Yong Pyong Resort Villa Condominium,1,리조트 및 콘도미니엄,2,169,2016,120767.5,3,2.5,0.5355639,2.935775856,-8.36564472,-11.20478099,-22.42716436,-13.30893508,-0.84409604,-52.67928143,-4.3,19.27,1.5,4.03,14.44,6.8,134.25,0.22,-19047,15559,29589,685150,209953,161042,18589,4079.55,13486.88,14509.45
1,(주)HJ 매그놀리아 용평 호텔 앤 리조트,용평리조트,Yong Pyong Resort Villa Condominium,1,리조트 및 콘도미니엄,2,169,2017,120767.5,3,4,2.563905309,-2.903540021,-1.745884179,0.893347039,3.038606784,-0.386916844,0.844914675,2.304432763,-6.55,-0.29,1.89,4.22,16.03,8.11,112.6,0.23,17810,-61464,1684,712351,209351,161956,13831,4155.48,14847.74,9675.52
1,(주)HJ 매그놀리아 용평 호텔 앤 리조트,용평리조트,Yong Pyong Resort Villa Condominium,1,리조트 및 콘도미니엄,2,169,2018,120767.5,3,4,8.595081151,1.234949647,0.044772174,11.32189177,14.28891595,0.14590524,-0.191532603,35.43998333,-6.37,-13.5,1.21,2.47,13.57,5.61,96.1,0.22,52430,-17193,-8131,693718,181088,139531,16991,4894.49,16681.56,12096.51
7,(주)뉴오리엔탈호텔,뉴오리엔탈호텔,New Oriental Hotel,0,3성급,1,65,2016,110491,3,4.46,8.536036586,-0.734925102,-3.062596294,-2.09521116,-5.947516774,-9.979511467,1.680544035,-11.60318018,0,0,-2.5,-4.14,-2.94,-9.54,65.2,0.26,400,-499,102,12853,2018,0,2078,862.7,447.59,1215.3
7,(주)뉴오리엔탈호텔,뉴오리엔탈호텔,New Oriental Hotel,0,3성급,1,65,2017,110491,3,4.454545455,8.872453596,-1.396243678,-1.133060633,-2.435562879,-2.965589068,-10.53728024,1.710620886,-7.884662014,3.36,-16.83,-1.12,-1.89,-1.22,-10.39,74,0.11,137,-815,675,12523,1679,0,1699,765.34,329.29,933.66
7,(주)뉴오리엔탈호텔,뉴오리엔탈호텔,New Oriental Hotel,0,3성급,1,65,2018,110491,3,4.666666667,3.779718561,4.535158156,3.351112245,1.603113701,3.579959936,-2.354072198,3.293628563,17.78861896,0.73,0.64,0.26,0.45,12.74,2.42,74.49,0.11,337,-313,-24,12301,1689,0,1474,746.77,222.85,727.23
7,(주)뉴오리엔탈호텔,뉴오리엔탈호텔,New Oriental Hotel,0,3성급,1,65,2019,110491,3,4.5,1.476381739,-1.650844891,-1.136867512,-0.277877122,-4.006988324,-10.08384097,2.168997919,-13.51103916,0.54,6.68,0.63,1.1,13.08,5.61,73.52,0.11,287,-260,-27,12106,1802,0,1566,818.07,194.48,747.93
8,(주)다인리조트,다인오세아노호텔,Dyne Oceano Hotel,0,4성급,1,83,2018,279345.5,4,3.5,2.026396213,-3.305809441,-6.493575488,-2.655875888,-2.721737808,-17.58668507,-1.755928693,-32.49321618,15.87,157.33,0.22,0.84,16.96,1.31,309.76,0.17,1433,-3974,3365,24688,4421,0,3671,1461.08,728.63,2209.92
8,(주)다인리조트,다인오세아노호텔,Dyne Oceano Hotel,0,4성급,1,83,2019,279345.5,4,3,-0.628114923,-2.031197452,-1.428515878,-4.566115315,-1.883542823,-6.067557088,-2.215208859,-18.82025234,-0.48,51.93,0.66,2.67,14.34,2.8,297.08,0.24,970,-662,-232,23960,6717,0,5753,1977.76,889.91,3775.24
9,(주)대아울릉리조트,대아울릉리조트,Daea Ulleung Resort,0,리조트 및 콘도미니엄,2,150,2017,135451.5,3,3.5,-0.658082164,0.509365311,-3.610450478,-5.430987223,-11.23447049,-9.012394283,0.006448335,-29.43057099,-2.69,15.35,-2.7,-7,0.57,-27.01,165.31,0.1,183,-40,-130,20532,2116,0,2104,827.99,504.41,1276.01
